 Txn ID ,CUSTOMER!!!, Payment Date/Time ,Txn Amt ₹,Shop Name!!!,City/Region,Mode of Payment,txn_status,curr,raw_notes_ignored
MSY-000068,USER-0045,16-Jan-2026 04:16,$60.24,Ultra Long Merchant Name XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Hyderabad,Net Banking,settled,INR,normal
MSY-000069,USER-0042,2026-01-16T04:33:00," 10,000.00 ",RideSwift,東京-IP,Credit Card,paid,INR,contains emoji 🚩
MSY-000070,USER-0027,2026-01-16 04:50:00,"₹10,000.00",QuickBite Cafe,Delhi,Wallet,settled,USD,contains emoji 🚩
MSY-000071,USER-0040,16/01/2026 05:07,"Rs. 5,273",Metro Grocers,Chennai,Credit Card,paid,INR,contains emoji 🚩
MSY-000072,USER-0013,01/16/2026 05:24 AM,"INR 1,373.27",GiftCard Vault!!!,Jaipur,Debit Card,success,INR,normal
MSY-000073,USER-0003,16-Jan-2026 05:41,$60.24,Mega Store 🔥,Hyderabad,UPI,paid,USD,contains emoji 🚩
MSY-000074,USER-0051,2026-01-16T05:58:00," 5,841.54 ",BookNest,Jaipur,UPI,paid,USD,legacy row
MSY-000075,USER-0063,2026-01-16 06:15:00,"₹24,999.00",GreenBasket,Bengaluru 😊,UPI,success,INR,normal
MSY-000076,USER-0040,16/01/2026 06:32,"Rs. 4,614",Metro Grocers,Delhi/NCR,Wallet,paid,INR,contains emoji 🚩
MSY-000077,USER-0011,01/16/2026 06:49 AM,"INR 10,000.00",HomeNeeds,Bengaluru 😊,Net Banking,paid,INR,manual import
MSY-000078,USER-0039,16-Jan-2026 07:06,$301.19,CloudKart,Unknown??,UPI,success,INR,contains emoji 🚩
MSY-000079,USER-0073,2026-01-16T07:23:00," 24,999.00 ",MovieMax,Delhi,UPI,success,USD,normal
MSY-000080,USER-0053,2026-01-16 07:40:00,"₹1,381.60",Metro Grocers,Jaipur,Debit Card,success,USD,legacy row
MSY-000081,USER-0036,16/01/2026 07:57,"Rs. 10,000",Ultra Long Merchant Name XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Mumbai-West,Net Banking,settled,USD,manual import
MSY-000082,USER-0025,01/16/2026 08:14 AM,"INR 24,999.00",StyleHub,Bengaluru,Debit Card,success,INR,manual import
MSY-000083,USER-0015,16-Jan-2026 08:31,$301.19,HomeNeeds,Bengaluru 😊,Net Banking,settled,INR,contains emoji 🚩
MSY-000084,USER-0021,2026-01-16T08:48:00," 5,000.00 ",RideSwift,東京-IP,Net Banking,settled,INR,legacy row
MSY-000085,USER-0078,2026-01-16 09:05:00,"₹24,999.00",HomeNeeds,Hyderabad,Net Banking,success,USD,legacy row
MSY-000086,USER-0027,16/01/2026 09:22,"Rs. 5,000",Payee_With_Spaces      ,Chennai,UPI,success,INR,contains emoji 🚩
MSY-000087,USER-0026,01/16/2026 09:39 AM,"INR 5,000.00",HomeNeeds,Ahmedabad,Wallet,success,INR,contains emoji 🚩
MSY-000088,USER-0080,16-Jan-2026 09:56,$60.24,CloudKart,Jaipur,Credit Card,success,USD,normal
MSY-000089,USER-0066,2026-01-16T10:13:00," 5,000.00 ",Mega Store 🔥,Unknown??,Debit Card,settled,USD,manual import
MSY-000090,USER-0008,2026-01-16 10:30:00,"₹10,000.00",CloudKart,Delhi,Debit Card,paid,USD,manual import
MSY-000091,USER-0014,16/01/2026 10:47,"Rs. 24,999",Mega Store 🔥,Delhi/NCR,Debit Card,success,USD,legacy row
MSY-000092,USER-0046,01/16/2026 11:04 AM,"INR 4,251.69",नमस्ते किराना,Delhi/NCR,UPI,settled,INR,manual import
MSY-000093,USER-0035,16-Jan-2026 11:21,$60.24,Payee_With_Spaces      ,Bhopal,Net Banking,paid,INR,manual import
MSY-000094,USER-0071,2026-01-16T11:38:00," 10,000.00 ",TechSquare,東京-IP,UPI,success,INR,legacy row
MSY-000095,USER-0006,2026-01-16 11:55:00,"₹10,000.00",TechSquare,Pune,Net Banking,paid,INR,contains emoji 🚩
MSY-000096,USER-0073,16/01/2026 12:12,Rs. 352,Payee_With_Spaces      ,Bengaluru,Debit Card,settled,INR,legacy row
MSY-000097,USER-0028,01/16/2026 12:29 PM,"INR 5,000.00",BookNest,Chennai,Credit Card,paid,INR,contains emoji 🚩
MSY-000098,USER-0047,16-Jan-2026 12:46,$60.24,StyleHub,Kolkata,Credit Card,paid,USD,normal
MSY-000099,USER-0064,2026-01-16T13:03:00," 1,050.85 ",GreenBasket,São Paulo,Debit Card,paid,USD,contains emoji 🚩
MSY-000100,USER-0067,2026-01-16 13:20:00,"₹10,000.00",Vendor#42@@@,São Paulo,UPI,paid,USD,legacy row
MSY-000101,USER-0060,16/01/2026 13:37,"Rs. 10,000",GreenBasket,Bhopal,Wallet,settled,USD,contains emoji 🚩
MSY-000102,USER-0030,01/16/2026 01:54 PM,INR 382.45,Metro Grocers,Unknown??,Credit Card,paid,INR,manual import
MSY-000103,USER-0023,16-Jan-2026 14:11,$14.41,CloudKart,Delhi/NCR,Net Banking,settled,USD,contains emoji 🚩
MSY-000104,USER-0033,2026-01-16T14:28:00," 24,999.00 ",Mega Store 🔥,Kolkata,Wallet,success,INR,normal
MSY-000105,USER-0058,2026-01-16 14:45:00,"₹10,000.00",QuickBite Cafe,Bengaluru,Credit Card,settled,USD,contains emoji 🚩
MSY-000106,USER-0035,16/01/2026 15:02,"Rs. 24,999",GreenBasket,Bengaluru 😊,Wallet,settled,USD,legacy row
MSY-000107,USER-0058,01/16/2026 03:19 PM,"INR 24,999.00",Payee_With_Spaces      ,Bhopal,UPI,paid,USD,manual import
MSY-000108,USER-0064,16-Jan-2026 15:36,$120.48,Ultra Long Merchant Name XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Mumbai,Net Banking,paid,INR,contains emoji 🚩
MSY-000109,USER-0001,2026-01-16T15:53:00," 1,318.47 ",GreenBasket,Chennai,Wallet,paid,USD,normal
MSY-000110,USER-0080,2026-01-16 16:10:00,"₹5,000.00",StyleHub,Mumbai-West,UPI,success,USD,contains emoji 🚩
MSY-000111,USER-0009,16/01/2026 16:27,"Rs. 10,000",UrbanFuel Station,Mumbai-West,Debit Card,settled,INR,manual import
MSY-000112,USER-0028,01/16/2026 04:44 PM,"INR 24,999.00",GreenBasket,Jaipur,Debit Card,settled,INR,manual import
MSY-000113,USER-0020,16-Jan-2026 17:01,$60.24,RideSwift,Mumbai-West,Debit Card,success,INR,manual import
MSY-000114,USER-0068,2026-01-16T17:18:00," 5,097.23 ",HomeNeeds,São Paulo,Net Banking,success,INR,normal
MSY-000115,USER-0017,2026-01-16 17:35:00,₹343.76,RideSwift,Pune,Wallet,success,INR,contains emoji 🚩
MSY-000116,USER-0011,16/01/2026 17:52,"Rs. 5,821",QuickBite Cafe,Chennai,Net Banking,settled,INR,contains emoji 🚩
MSY-000117,USER-0067,01/16/2026 06:09 PM,"INR 2,320.01",CloudKart,Bengaluru,Net Banking,success,INR,contains emoji 🚩
MSY-000118,USER-0064,16-Jan-2026 18:26,$120.48,TechSquare,Kolkata,Credit Card,settled,INR,contains emoji 🚩
MSY-000119,USER-0051,2026-01-16T18:43:00," 2,406.49 ",MovieMax,Hyderabad,Credit Card,paid,USD,normal
MSY-000120,USER-0035,2026-01-16 19:00:00,"₹5,000.00",BookNest,Delhi/NCR,Debit Card,paid,USD,normal
MSY-000121,USER-0055,16/01/2026 19:17,"Rs. 24,999",Metro Grocers,Delhi,Credit Card,paid,INR,normal
MSY-000122,USER-0003,01/16/2026 07:34 PM,"INR 5,000.00",GiftCard Vault!!!,Hyderabad,Net Banking,settled,USD,normal
MSY-000123,USER-0001,16-Jan-2026 19:51,$60.24,Payee_With_Spaces      ,Bengaluru 😊,Debit Card,paid,INR,legacy row
MSY-000124,USER-0016,2026-01-16T20:08:00," 10,000.00 ",Metro Grocers,Ahmedabad,Credit Card,success,USD,normal
MSY-000125,USER-0060,2026-01-16 20:25:00,"₹5,000.00",City Pharmacy,Bhopal,Debit Card,paid,INR,normal
MSY-000126,USER-0037,16/01/2026 20:42,"Rs. 10,000",QuickBite Cafe,東京-IP,Credit Card,success,INR,manual import
MSY-000127,USER-0030,01/16/2026 08:59 PM,"INR 10,000.00",RideSwift,Chennai,UPI,success,INR,normal
MSY-000128,USER-0058,16-Jan-2026 21:16,$60.24,नमस्ते किराना,Mumbai-West,UPI,success,INR,manual import
MSY-000129,USER-0069,2026-01-16T21:33:00," 1,415.47 ",Payee_With_Spaces      ,Kolkata,Net Banking,paid,INR,normal
MSY-000130,USER-0012,2026-01-16 21:50:00,"₹5,000.00",HomeNeeds,Delhi/NCR,Credit Card,settled,INR,normal
MSY-000131,USER-0070,16/01/2026 22:07,"Rs. 10,000",StyleHub,Kolkata,Net Banking,paid,USD,normal
MSY-000132,USER-0021,01/16/2026 10:24 PM,"INR 5,000.00",UrbanFuel Station,Hyderabad,UPI,settled,INR,normal
MSY-000133,USER-0025,16-Jan-2026 22:41,$120.48,Payee_With_Spaces      ,São Paulo,Net Banking,paid,USD,legacy row
MSY-000134,USER-0024,2026-01-16T22:58:00," 5,000.00 ",UrbanFuel Station,Bhopal,Wallet,success,INR,legacy row
MSY-000135,USER-0063,2026-01-16 23:15:00,"₹5,406.73",Vendor#42@@@,Bengaluru 😊,Credit Card,settled,INR,manual import
MSY-000136,USER-0032,16/01/2026 23:32,"Rs. 1,426",Mega Store 🔥,Delhi,Wallet,success,INR,legacy row
MSY-000137,USER-0067,01/16/2026 11:49 PM,"INR 10,000.00",RideSwift,Ahmedabad,UPI,settled,INR,normal
MSY-000138,USER-0020,17-Jan-2026 00:06,$301.19,TechSquare,Bengaluru,Debit Card,settled,USD,legacy row
MSY-000139,USER-0037,2026-01-17T00:23:00," 2,663.44 ",QuickBite Cafe,Unknown??,Wallet,paid,INR,contains emoji 🚩
MSY-000140,USER-0069,2026-01-17 00:40:00,"₹1,820.59",StyleHub,Bengaluru,Net Banking,settled,INR,legacy row
MSY-000141,USER-0016,17/01/2026 00:57,"Rs. 1,224",नमस्ते किराना,Jaipur,Credit Card,settled,INR,contains emoji 🚩
MSY-000142,USER-0041,01/17/2026 01:14 AM,"INR 10,000.00",StyleHub,東京-IP,Net Banking,settled,INR,manual import
MSY-000143,USER-0078,17-Jan-2026 01:31,$301.19,GreenBasket,Jaipur,Net Banking,success,INR,normal
MSY-000144,USER-0003,2026-01-17T01:48:00," 5,000.00 ",StyleHub,Mumbai-West,UPI,paid,USD,legacy row
MSY-000145,USER-0021,2026-01-17 02:05:00,"₹5,000.00",StyleHub,Bengaluru 😊,UPI,success,INR,normal
MSY-000146,USER-0065,17/01/2026 02:22,"Rs. 2,282",नमस्ते किराना,Pune,Wallet,settled,USD,manual import
MSY-000147,USER-0032,01/17/2026 02:39 AM,"INR 4,358.06",MovieMax,東京-IP,Net Banking,settled,USD,manual import
MSY-000148,USER-0062,17-Jan-2026 02:56,$301.19,City Pharmacy,Bengaluru,Wallet,settled,USD,legacy row
MSY-000149,USER-0064,2026-01-17T03:13:00," 10,000.00 ",CloudKart,Hyderabad,Net Banking,paid,INR,legacy row
MSY-000150,USER-0048,2026-01-17 03:30:00,"₹5,000.00",TechSquare,Mumbai-West,UPI,success,USD,legacy row
MSY-000151,USER-0075,17/01/2026 03:47,"Rs. 24,999",StyleHub,Bhopal,Net Banking,settled,INR,legacy row
MSY-000152,USER-0031,01/17/2026 04:04 AM,"INR 1,363.52",StyleHub,Pune,UPI,paid,INR,normal
MSY-000153,USER-0021,17-Jan-2026 04:21,$58.27,StyleHub,Hyderabad,Net Banking,success,USD,manual import
MSY-000154,USER-0033,2026-01-17T04:38:00," 5,000.00 ",CloudKart,Bengaluru,Net Banking,settled,INR,contains emoji 🚩
MSY-000155,USER-0035,2026-01-17 04:55:00,"₹10,000.00",Metro Grocers,Kolkata,Debit Card,settled,INR,contains emoji 🚩
MSY-000156,USER-0048,17/01/2026 05:12,"Rs. 5,000",GiftCard Vault!!!,Bengaluru 😊,Net Banking,success,INR,legacy row
MSY-000157,USER-0046,01/17/2026 05:29 AM,INR 344.17,Mega Store 🔥,Pune,Wallet,settled,INR,manual import
MSY-000158,USER-0069,17-Jan-2026 05:46,$120.48,City Pharmacy,São Paulo,Credit Card,settled,USD,normal
MSY-000159,USER-0058,2026-01-17T06:03:00," 10,000.00 ",GreenBasket,Pune,Net Banking,settled,USD,legacy row
MSY-000160,USER-0045,2026-01-17 06:20:00,"₹5,000.00",नमस्ते किराना,Kolkata,Wallet,settled,INR,contains emoji 🚩
MSY-DUP-ID-0001,USER-MESSY-DUP,17/01/2026 11:00,"₹24,999.00",GiftCard Vault!!!,Bengaluru 😊,UPI,success,INR,intentional duplicate row
MSY-DUP-ID-0001,USER-MESSY-DUP,17/01/2026 11:00,"₹24,999.00",GiftCard Vault!!!,Bengaluru 😊,UPI,success,INR,intentional duplicate row
MSY-DUP-ID-0001,USER-MESSY-DUP,17/01/2026 11:00,"₹24,999.00",GiftCard Vault!!!,Bengaluru 😊,UPI,success,INR,intentional duplicate row
MSY-DUP-ID-0001,USER-MESSY-DUP,17/01/2026 11:00,"₹24,999.00",GiftCard Vault!!!,Bengaluru 😊,UPI,success,INR,intentional duplicate row
MSY-DUP-ID-0001,USER-MESSY-DUP,17/01/2026 11:00,"₹24,999.00",GiftCard Vault!!!,Bengaluru 😊,UPI,success,INR,intentional duplicate row
MSY-RAPID-000000,USER-MESSY-RAPID,2026-01-17 21:00:00,₹800.00,Mega Store 🔥,Bengaluru 😊,Credit Card,success,USD,rapid sequence
MSY-RAPID-000001,USER-MESSY-RAPID,17/01/2026 21:01,Rs. 910,Vendor#42@@@,Mumbai-West,Credit Card,success,INR,rapid sequence
MSY-RAPID-000002,USER-MESSY-RAPID,01/17/2026 09:02 PM,"INR 1,020.00",Payee_With_Spaces      ,Unknown??,Credit Card,success,INR,rapid sequence
MSY-RAPID-000003,USER-MESSY-RAPID,17-Jan-2026 21:03,$13.61,नमस्ते किराना,Delhi/NCR,Credit Card,success,INR,rapid sequence
MSY-RAPID-000004,USER-MESSY-RAPID,2026-01-17T21:04:00," 1,240.00 ",Ultra Long Merchant Name XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,東京-IP,Credit Card,success,USD,rapid sequence
MSY-RAPID-000005,USER-MESSY-RAPID,2026-01-17 21:05:00,"₹1,350.00",GiftCard Vault!!!,São Paulo,Credit Card,success,INR,rapid sequence
MSY-RAPID-000006,USER-MESSY-RAPID,17/01/2026 21:06,"Rs. 1,460",Mega Store 🔥,Bengaluru 😊,Credit Card,success,INR,rapid sequence
MSY-RAPID-000007,USER-MESSY-RAPID,01/17/2026 09:07 PM,"INR 1,570.00",Vendor#42@@@,Mumbai-West,Credit Card,success,INR,rapid sequence
MSY-RAPID-000008,USER-MESSY-RAPID,17-Jan-2026 21:08,$20.24,Payee_With_Spaces      ,Unknown??,Credit Card,success,USD,rapid sequence
MSY-RAPID-000009,USER-MESSY-RAPID,2026-01-17T21:09:00," 1,790.00 ",नमस्ते किराना,Delhi/NCR,Credit Card,success,INR,rapid sequence
MSY-RAPID-000010,USER-MESSY-RAPID,2026-01-17 21:10:00,"₹1,900.00",Ultra Long Merchant Name XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,東京-IP,Credit Card,success,INR,rapid sequence
MSY-RAPID-000011,USER-MESSY-RAPID,17/01/2026 21:11,"Rs. 2,010",GiftCard Vault!!!,São Paulo,Credit Card,success,INR,rapid sequence
MSY-DUP-ID-0001,USER-MESSY-RAPID,01/17/2026 09:12 PM,"INR 2,120.00",Mega Store 🔥,Bengaluru 😊,Credit Card,success,USD,rapid sequence
MSY-RAPID-000013,USER-MESSY-RAPID,17-Jan-2026 21:13,$26.87,Vendor#42@@@,Mumbai-West,Credit Card,success,INR,rapid sequence
MSY-RAPID-000014,USER-MESSY-RAPID,2026-01-17T21:14:00," 2,340.00 ",Payee_With_Spaces      ,Unknown??,Credit Card,success,INR,rapid sequence
MSY-RAPID-000015,USER-MESSY-RAPID,2026-01-17 21:15:00,"₹2,450.00",नमस्ते किराना,Delhi/NCR,Credit Card,success,INR,rapid sequence
MSY-RAPID-000016,USER-MESSY-RAPID,17/01/2026 21:16,"Rs. 2,560",Ultra Long Merchant Name XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,東京-IP,Credit Card,success,USD,rapid sequence
MSY-RAPID-000017,USER-MESSY-RAPID,01/17/2026 09:17 PM,"INR 2,670.00",GiftCard Vault!!!,São Paulo,Credit Card,success,INR,rapid sequence
MSY-RAPID-000018,USER-MESSY-RAPID,17-Jan-2026 21:18,$33.49,Mega Store 🔥,Bengaluru 😊,Credit Card,success,INR,rapid sequence
MSY-RAPID-000019,USER-MESSY-RAPID,2026-01-17T21:19:00," 2,890.00 ",Vendor#42@@@,Mumbai-West,Credit Card,success,INR,rapid sequence
