transaction_id,user_id,transaction_time,amount,merchant,location,payment_method,status,currency
STD-000042,USER-0043,2026-01-15 21:36:00,1076.07,QuickBite Cafe,Bhopal,Wallet,success,INR
STD-000043,USER-0060,2026-01-15 21:54:00,3651.88,Metro Grocers,Kolkata,Wallet,success,INR
STD-000044,USER-0003,2026-01-15 22:12:00,395.41,GreenBasket,Kolkata,Debit Card,success,INR
STD-000045,USER-0054,2026-01-15 22:30:00,6145.84,HomeNeeds,Bengaluru,Wallet,success,INR
STD-000046,USER-0046,2026-01-15 22:48:00,3339.48,TechSquare,Hyderabad,Wallet,success,INR
STD-000047,USER-0002,2026-01-15 23:06:00,4370.81,Metro Grocers,Bengaluru,Wallet,success,INR
STD-000048,USER-0012,2026-01-15 23:24:00,4617.06,GreenBasket,Chennai,Net Banking,success,INR
STD-000049,USER-0031,2026-01-15 23:42:00,513.96,UrbanFuel Station,Bhopal,Wallet,success,INR
STD-000050,USER-0045,2026-01-16 00:00:00,2206.62,City Pharmacy,Jaipur,Wallet,success,INR
STD-000051,USER-0067,2026-01-16 00:18:00,2051.89,MovieMax,Mumbai,UPI,success,INR
STD-000052,USER-0024,2026-01-16 00:36:00,4308.12,StyleHub,Mumbai,Wallet,success,INR
STD-000053,USER-0077,2026-01-16 00:54:00,1440.19,HomeNeeds,Mumbai,UPI,success,INR
STD-000054,USER-0038,2026-01-16 01:12:00,865.6,BookNest,Bhopal,Net Banking,success,INR
STD-000055,USER-0008,2026-01-16 01:30:00,2723.88,StyleHub,Mumbai,Credit Card,success,INR
STD-000056,USER-0022,2026-01-16 01:48:00,5964.25,RideSwift,Delhi,UPI,success,INR
STD-000057,USER-0045,2026-01-16 02:06:00,1466.59,BookNest,Delhi,Wallet,success,INR
STD-000058,USER-0057,2026-01-16 02:24:00,137.46,UrbanFuel Station,Kolkata,Debit Card,success,INR
STD-000059,USER-0012,2026-01-16 02:42:00,5733.45,City Pharmacy,Pune,Net Banking,success,INR
STD-000060,USER-0013,2026-01-16 03:00:00,4838.82,RideSwift,Ahmedabad,Wallet,success,INR
STD-000061,USER-0073,2026-01-16 03:18:00,6459.11,StyleHub,Kolkata,Wallet,success,INR
STD-000062,USER-0068,2026-01-16 03:36:00,2746.24,MovieMax,Kolkata,Debit Card,success,INR
STD-000063,USER-0055,2026-01-16 03:54:00,6492.24,Metro Grocers,Kolkata,Net Banking,success,INR
STD-000064,USER-0013,2026-01-16 04:12:00,4713.92,CloudKart,Bengaluru,Debit Card,success,INR
STD-000065,USER-0047,2026-01-16 04:30:00,4058.99,TechSquare,Jaipur,Net Banking,success,INR
STD-000066,USER-0010,2026-01-16 04:48:00,4686.86,GreenBasket,Mumbai,Debit Card,success,INR
STD-000067,USER-0002,2026-01-16 05:06:00,5932.52,UrbanFuel Station,Jaipur,Wallet,success,INR
STD-000068,USER-0077,2026-01-16 05:24:00,5937.76,MovieMax,Chennai,UPI,success,INR
STD-000069,USER-0018,2026-01-16 05:42:00,6188.01,RideSwift,Jaipur,Net Banking,success,INR
STD-000070,USER-0031,2026-01-16 06:00:00,6188.21,UrbanFuel Station,Jaipur,Debit Card,success,INR
STD-000071,USER-0004,2026-01-16 06:18:00,3705.67,GreenBasket,Mumbai,Wallet,success,INR
STD-000072,USER-0020,2026-01-16 06:36:00,3433.0,RideSwift,Bhopal,Wallet,success,INR
STD-000073,USER-0079,2026-01-16 06:54:00,5162.06,Metro Grocers,Bhopal,UPI,success,INR
STD-000074,USER-0031,2026-01-16 07:12:00,5551.72,GreenBasket,Mumbai,UPI,success,INR
STD-000075,USER-0050,2026-01-16 07:30:00,208.3,TechSquare,Jaipur,Credit Card,success,INR
STD-000076,USER-0056,2026-01-16 07:48:00,5602.63,Metro Grocers,Bhopal,UPI,success,INR
STD-000077,USER-0024,2026-01-16 08:06:00,1245.7,MovieMax,Bengaluru,Wallet,success,INR
STD-000078,USER-0063,2026-01-16 08:24:00,5030.44,BookNest,Ahmedabad,Debit Card,success,INR
STD-000079,USER-0055,2026-01-16 08:42:00,4156.76,Metro Grocers,Jaipur,Net Banking,success,INR
STD-000080,USER-0028,2026-01-16 09:00:00,2246.15,CloudKart,Hyderabad,Credit Card,success,INR
STD-000081,USER-0022,2026-01-16 09:18:00,737.47,GreenBasket,Chennai,UPI,success,INR
STD-000082,USER-0039,2026-01-16 09:36:00,855.97,QuickBite Cafe,Pune,Wallet,success,INR
STD-000083,USER-0053,2026-01-16 09:54:00,4350.32,UrbanFuel Station,Jaipur,Credit Card,success,INR
STD-000084,USER-0010,2026-01-16 10:12:00,4715.82,StyleHub,Mumbai,Net Banking,success,INR
STD-000085,USER-0024,2026-01-16 10:30:00,5151.46,GreenBasket,Bhopal,Credit Card,success,INR
STD-000086,USER-0054,2026-01-16 10:48:00,4925.46,CloudKart,Delhi,Debit Card,success,INR
STD-000087,USER-0006,2026-01-16 11:06:00,5540.85,RideSwift,Ahmedabad,Wallet,success,INR
STD-000088,USER-0056,2026-01-16 11:24:00,6118.55,City Pharmacy,Ahmedabad,Wallet,success,INR
STD-000089,USER-0057,2026-01-16 11:42:00,4155.86,TechSquare,Pune,Credit Card,success,INR
STD-000090,USER-0006,2026-01-16 12:00:00,1949.07,City Pharmacy,Chennai,Credit Card,success,INR
STD-000091,USER-0044,2026-01-16 12:18:00,787.58,StyleHub,Kolkata,Net Banking,success,INR
STD-000092,USER-0017,2026-01-16 12:36:00,3324.82,QuickBite Cafe,Bengaluru,Net Banking,success,INR
STD-000093,USER-0051,2026-01-16 12:54:00,1637.72,BookNest,Ahmedabad,Wallet,success,INR
STD-000094,USER-0038,2026-01-16 13:12:00,3045.86,Metro Grocers,Delhi,Net Banking,success,INR
STD-000095,USER-0033,2026-01-16 13:30:00,2470.4,BookNest,Chennai,Wallet,success,INR
STD-000096,USER-0054,2026-01-16 13:48:00,3345.44,RideSwift,Hyderabad,UPI,success,INR
STD-000097,USER-0009,2026-01-16 14:06:00,2635.05,Metro Grocers,Pune,Credit Card,success,INR
STD-000098,USER-0060,2026-01-16 14:24:00,1598.94,RideSwift,Kolkata,Credit Card,success,INR
STD-000099,USER-0077,2026-01-16 14:42:00,2571.73,UrbanFuel Station,Chennai,Net Banking,success,INR
STD-000100,USER-0022,2026-01-16 15:00:00,3098.02,MovieMax,Hyderabad,UPI,success,INR
STD-000101,USER-0043,2026-01-16 15:18:00,2926.23,BookNest,Kolkata,Credit Card,success,INR
STD-000102,USER-0012,2026-01-16 15:36:00,3701.73,CloudKart,Mumbai,Wallet,success,INR
STD-000103,USER-0009,2026-01-16 15:54:00,2672.4,TechSquare,Jaipur,Debit Card,success,INR
STD-000104,USER-0036,2026-01-16 16:12:00,2587.92,TechSquare,Chennai,Wallet,success,INR
STD-000105,USER-0080,2026-01-16 16:30:00,2841.03,UrbanFuel Station,Bhopal,Net Banking,success,INR
STD-000106,USER-0067,2026-01-16 16:48:00,1516.19,UrbanFuel Station,Delhi,UPI,success,INR
STD-000107,USER-0008,2026-01-16 17:06:00,6421.75,CloudKart,Ahmedabad,Net Banking,success,INR
STD-000108,USER-0061,2026-01-16 17:24:00,2895.96,TechSquare,Pune,Credit Card,success,INR
STD-000109,USER-0052,2026-01-16 17:42:00,2665.21,RideSwift,Jaipur,Debit Card,success,INR
STD-000110,USER-0009,2026-01-16 18:00:00,662.11,GreenBasket,Chennai,Credit Card,success,INR
STD-000111,USER-0041,2026-01-16 18:18:00,4792.27,RideSwift,Jaipur,Debit Card,success,INR
STD-000112,USER-0074,2026-01-16 18:36:00,5681.99,City Pharmacy,Chennai,Wallet,success,INR
STD-000113,USER-0050,2026-01-16 18:54:00,1564.76,MovieMax,Mumbai,Wallet,success,INR
STD-000114,USER-0045,2026-01-16 19:12:00,2826.58,QuickBite Cafe,Bengaluru,Debit Card,success,INR
STD-000115,USER-0059,2026-01-16 19:30:00,2185.46,StyleHub,Bengaluru,UPI,success,INR
STD-000116,USER-0067,2026-01-16 19:48:00,5652.97,HomeNeeds,Delhi,Wallet,success,INR
STD-000117,USER-0060,2026-01-16 20:06:00,1558.35,BookNest,Delhi,UPI,success,INR
STD-000118,USER-0027,2026-01-16 20:24:00,3405.94,MovieMax,Kolkata,UPI,success,INR
STD-000119,USER-0061,2026-01-16 20:42:00,936.02,UrbanFuel Station,Bhopal,Credit Card,success,INR
STD-000120,USER-0014,2026-01-16 21:00:00,1058.56,CloudKart,Kolkata,Net Banking,success,INR
STD-000121,USER-0004,2026-01-16 21:18:00,6427.49,TechSquare,Pune,Net Banking,success,INR
STD-000122,USER-0067,2026-01-16 21:36:00,1405.88,HomeNeeds,Jaipur,UPI,success,INR
STD-000123,USER-0014,2026-01-16 21:54:00,1051.51,TechSquare,Hyderabad,Debit Card,success,INR
STD-000124,USER-0009,2026-01-16 22:12:00,2978.95,Metro Grocers,Mumbai,Net Banking,success,INR
STD-000125,USER-0042,2026-01-16 22:30:00,2114.65,TechSquare,Jaipur,Net Banking,success,INR
STD-000126,USER-0025,2026-01-16 22:48:00,400.05,RideSwift,Delhi,Net Banking,success,INR
STD-000127,USER-0051,2026-01-16 23:06:00,5397.16,RideSwift,Delhi,Credit Card,success,INR
STD-000128,USER-0055,2026-01-16 23:24:00,3890.81,BookNest,Bengaluru,Wallet,success,INR
STD-000129,USER-0042,2026-01-16 23:42:00,693.98,City Pharmacy,Delhi,Credit Card,success,INR
STD-000130,USER-0028,2026-01-17 00:00:00,2061.78,UrbanFuel Station,Ahmedabad,Wallet,success,INR
STD-000131,USER-0044,2026-01-17 00:18:00,6397.91,StyleHub,Delhi,Debit Card,success,INR
STD-000132,USER-0065,2026-01-17 00:36:00,4041.53,RideSwift,Bhopal,UPI,success,INR
STD-000133,USER-0063,2026-01-17 00:54:00,2561.03,StyleHub,Bengaluru,UPI,success,INR
STD-000134,USER-0014,2026-01-17 01:12:00,423.24,UrbanFuel Station,Jaipur,Net Banking,success,INR
STD-000135,USER-0041,2026-01-17 01:30:00,2093.97,QuickBite Cafe,Chennai,UPI,success,INR
STD-000136,USER-0045,2026-01-17 01:48:00,2790.04,MovieMax,Mumbai,Debit Card,success,INR
STD-000137,USER-0041,2026-01-17 02:06:00,3015.06,MovieMax,Delhi,Debit Card,success,INR
STD-000138,USER-0048,2026-01-17 02:24:00,5922.91,StyleHub,Chennai,UPI,success,INR
STD-000139,USER-0018,2026-01-17 02:42:00,1861.22,City Pharmacy,Pune,Credit Card,success,INR
STD-000140,USER-0042,2026-01-17 03:00:00,1843.1,RideSwift,Delhi,Net Banking,success,INR
STD-000141,USER-0061,2026-01-17 03:18:00,1126.08,UrbanFuel Station,Jaipur,UPI,success,INR
STD-000142,USER-0033,2026-01-17 03:36:00,1487.65,RideSwift,Jaipur,UPI,success,INR
STD-000143,USER-0021,2026-01-17 03:54:00,2907.05,GreenBasket,Chennai,Wallet,success,INR
STD-000144,USER-0079,2026-01-17 04:12:00,2878.77,GreenBasket,Pune,Debit Card,success,INR
STD-000145,USER-0069,2026-01-17 04:30:00,3158.01,StyleHub,Delhi,Credit Card,success,INR
STD-000146,USER-0043,2026-01-17 04:48:00,948.29,TechSquare,Kolkata,Debit Card,success,INR
STD-000147,USER-0038,2026-01-17 05:06:00,1222.6,StyleHub,Pune,Debit Card,success,INR
STD-000148,USER-0077,2026-01-17 05:24:00,5758.85,TechSquare,Jaipur,Credit Card,success,INR
STD-000149,USER-0066,2026-01-17 05:42:00,5841.59,MovieMax,Pune,Credit Card,success,INR
STD-000150,USER-0003,2026-01-17 06:00:00,2326.34,GreenBasket,Kolkata,UPI,success,INR
STD-MED-000151,USER-0011,2026-01-16 12:41:00,5000,GreenBasket,Mumbai,Wallet,success,INR
STD-MED-000152,USER-0021,2026-01-16 12:52:00,10000,StyleHub,Jaipur,Net Banking,success,INR
STD-MED-000153,USER-0004,2026-01-16 13:03:00,15000,HomeNeeds,Pune,UPI,success,INR
STD-MED-000154,USER-0008,2026-01-16 13:14:00,10000,UrbanFuel Station,Hyderabad,Net Banking,success,INR
STD-MED-000155,USER-0023,2026-01-16 13:25:00,10000,HomeNeeds,Kolkata,Credit Card,success,INR
STD-MED-000156,USER-0018,2026-01-16 13:36:00,15000,BookNest,Bhopal,Wallet,success,INR
STD-MED-000157,USER-0001,2026-01-16 13:47:00,10000,UrbanFuel Station,Kolkata,Credit Card,success,INR
STD-MED-000158,USER-0007,2026-01-16 13:58:00,10000,RideSwift,Ahmedabad,Net Banking,success,INR
STD-MED-000159,USER-0025,2026-01-16 14:09:00,10000,HomeNeeds,Mumbai,Net Banking,success,INR
STD-MED-000160,USER-0009,2026-01-16 14:20:00,5000,Metro Grocers,Bhopal,UPI,success,INR
STD-MED-000161,USER-0003,2026-01-16 14:31:00,5000,Metro Grocers,Jaipur,Credit Card,success,INR
STD-MED-000162,USER-0010,2026-01-16 14:42:00,10000,HomeNeeds,Chennai,Debit Card,success,INR
STD-MED-000163,USER-0013,2026-01-16 14:53:00,10000,MovieMax,Hyderabad,UPI,success,INR
STD-MED-000164,USER-0019,2026-01-16 15:04:00,15000,StyleHub,Mumbai,UPI,success,INR
STD-MED-000165,USER-0012,2026-01-16 15:15:00,15000,UrbanFuel Station,Bengaluru,Net Banking,success,INR
STD-MED-000166,USER-0018,2026-01-16 15:26:00,10000,CloudKart,Hyderabad,Wallet,success,INR
STD-MED-000167,USER-0009,2026-01-16 15:37:00,15000,CloudKart,Bhopal,UPI,success,INR
STD-MED-000168,USER-0001,2026-01-16 15:48:00,5000,HomeNeeds,Ahmedabad,Debit Card,success,INR
STD-MED-000169,USER-0003,2026-01-16 15:59:00,5000,CloudKart,Kolkata,Net Banking,success,INR
STD-MED-000170,USER-0019,2026-01-16 16:10:00,15000,Metro Grocers,Ahmedabad,Debit Card,success,INR
STD-VEL-000000,USER-VELOCITY-CRITICAL,2026-01-17 14:20:00,900,FlashCryptoX,Bengaluru,Credit Card,success,INR
STD-VEL-000001,USER-VELOCITY-CRITICAL,2026-01-17 14:21:00,975,NightOwl Electronics,Mumbai,Credit Card,success,INR
STD-VEL-000002,USER-VELOCITY-CRITICAL,2026-01-17 14:22:00,1050,GiftCard Vault,Hyderabad,Credit Card,success,INR
STD-VEL-000003,USER-VELOCITY-CRITICAL,2026-01-17 14:23:00,1125,Shell Merchant 991,Delhi,Credit Card,success,INR
STD-VEL-000004,USER-VELOCITY-CRITICAL,2026-01-17 14:24:00,1200,HighRiskPayee,Chennai,Credit Card,success,INR
STD-VEL-000005,USER-VELOCITY-CRITICAL,2026-01-17 14:25:00,1275,FlashCryptoX,Pune,Credit Card,success,INR
STD-VEL-000006,USER-VELOCITY-CRITICAL,2026-01-17 14:26:00,1350,NightOwl Electronics,Bhopal,Credit Card,success,INR
STD-VEL-000007,USER-VELOCITY-CRITICAL,2026-01-17 14:27:00,1425,GiftCard Vault,Kolkata,Credit Card,success,INR
STD-VEL-000008,USER-VELOCITY-CRITICAL,2026-01-17 14:28:00,1500,Shell Merchant 991,Jaipur,Credit Card,success,INR
STD-VEL-000009,USER-VELOCITY-CRITICAL,2026-01-17 14:29:00,1575,HighRiskPayee,Ahmedabad,Credit Card,success,INR
STD-VEL-000010,USER-VELOCITY-CRITICAL,2026-01-17 14:30:00,1650,FlashCryptoX,Bengaluru,Credit Card,success,INR
STD-VEL-000011,USER-VELOCITY-CRITICAL,2026-01-17 14:31:00,1725,NightOwl Electronics,Mumbai,Credit Card,success,INR
STD-VEL-LARGE-000001,USER-VELOCITY-CRITICAL,2026-01-17 14:33:00,250000,FlashCryptoX,Dubai-IP,Credit Card,success,INR
STD-DUPLICATE-ID-0001,USER-DUPLICATE-777,2026-01-17 21:00:00,24999,GiftCard Vault,Bengaluru,UPI,success,INR
STD-DUPLICATE-ID-0001,USER-DUPLICATE-777,2026-01-17 21:00:00,24999,GiftCard Vault,Bengaluru,UPI,success,INR
STD-DUPLICATE-ID-0001,USER-DUPLICATE-777,2026-01-17 21:00:00,24999,GiftCard Vault,Bengaluru,UPI,success,INR
STD-DUP-000003,USER-DUPLICATE-777,2026-01-17 21:00:00,24999,GiftCard Vault,Bengaluru,UPI,success,INR
STD-DUP-000004,USER-DUPLICATE-777,2026-01-17 21:00:00,24999,GiftCard Vault,Bengaluru,UPI,success,INR
STD-DUP-000005,USER-DUPLICATE-777,2026-01-17 21:00:00,24999,GiftCard Vault,Bengaluru,UPI,success,INR
STD-MERCHANT-RISK-000000,USER-MERCHANT-000,2026-01-18 02:00:00,18000,FlashCryptoX,Bengaluru,Debit Card,success,INR
STD-MERCHANT-RISK-000001,USER-MERCHANT-001,2026-01-18 02:02:00,22000,FlashCryptoX,Mumbai,Wallet,success,INR
STD-MERCHANT-RISK-000002,USER-MERCHANT-002,2026-01-18 02:04:00,26000,FlashCryptoX,Kolkata,Net Banking,success,INR
STD-MERCHANT-RISK-000003,USER-MERCHANT-003,2026-01-18 02:06:00,30000,FlashCryptoX,Chennai,Wallet,success,INR
STD-MERCHANT-RISK-000004,USER-MERCHANT-004,2026-01-18 02:08:00,34000,FlashCryptoX,Delhi,UPI,success,INR
STD-MERCHANT-RISK-000005,USER-MERCHANT-005,2026-01-18 02:10:00,38000,FlashCryptoX,Delhi,Wallet,success,INR
STD-MERCHANT-RISK-000006,USER-MERCHANT-006,2026-01-18 02:12:00,18000,FlashCryptoX,Kolkata,Wallet,success,INR
STD-MERCHANT-RISK-000007,USER-MERCHANT-007,2026-01-18 02:14:00,22000,FlashCryptoX,Kolkata,Net Banking,success,INR
STD-MERCHANT-RISK-000008,USER-MERCHANT-008,2026-01-18 02:16:00,26000,FlashCryptoX,Kolkata,Net Banking,success,INR
STD-MERCHANT-RISK-000009,USER-MERCHANT-009,2026-01-18 02:18:00,30000,FlashCryptoX,Chennai,UPI,success,INR
STD-MERCHANT-RISK-000010,USER-MERCHANT-010,2026-01-18 02:20:00,34000,FlashCryptoX,Chennai,Credit Card,success,INR
STD-MERCHANT-RISK-000011,USER-MERCHANT-011,2026-01-18 02:22:00,38000,FlashCryptoX,Pune,Debit Card,success,INR
STD-MERCHANT-RISK-000012,USER-MERCHANT-012,2026-01-18 02:24:00,18000,FlashCryptoX,Bhopal,Credit Card,success,INR
STD-MERCHANT-RISK-000013,USER-MERCHANT-013,2026-01-18 02:26:00,22000,FlashCryptoX,Delhi,Credit Card,success,INR
STD-MERCHANT-RISK-000014,USER-MERCHANT-014,2026-01-18 02:28:00,26000,FlashCryptoX,Pune,UPI,success,INR
STD-MERCHANT-RISK-000015,USER-MERCHANT-015,2026-01-18 02:30:00,30000,FlashCryptoX,Kolkata,Debit Card,success,INR
STD-MERCHANT-RISK-000016,USER-MERCHANT-016,2026-01-18 02:32:00,34000,FlashCryptoX,Mumbai,Credit Card,success,INR
STD-MERCHANT-RISK-000017,USER-MERCHANT-017,2026-01-18 02:34:00,38000,FlashCryptoX,Pune,Net Banking,success,INR
STD-MERCHANT-RISK-000018,USER-MERCHANT-018,2026-01-18 02:36:00,18000,FlashCryptoX,Kolkata,UPI,success,INR
STD-MERCHANT-RISK-000019,USER-MERCHANT-019,2026-01-18 02:38:00,22000,FlashCryptoX,Ahmedabad,Wallet,success,INR
STD-MERCHANT-RISK-000020,USER-MERCHANT-020,2026-01-18 02:40:00,26000,FlashCryptoX,Bengaluru,Debit Card,success,INR
STD-MERCHANT-RISK-000021,USER-MERCHANT-021,2026-01-18 02:42:00,30000,FlashCryptoX,Jaipur,Wallet,success,INR
STD-MERCHANT-RISK-000022,USER-MERCHANT-022,2026-01-18 02:44:00,34000,FlashCryptoX,Kolkata,Debit Card,success,INR
STD-MERCHANT-RISK-000023,USER-MERCHANT-023,2026-01-18 02:46:00,38000,FlashCryptoX,Hyderabad,Debit Card,success,INR
STD-MERCHANT-RISK-000024,USER-MERCHANT-024,2026-01-18 02:48:00,18000,FlashCryptoX,Jaipur,UPI,success,INR
STD-MERCHANT-RISK-000025,USER-MERCHANT-025,2026-01-18 02:50:00,22000,FlashCryptoX,Pune,Credit Card,success,INR
STD-MERCHANT-RISK-000026,USER-MERCHANT-026,2026-01-18 02:52:00,26000,FlashCryptoX,Delhi,Credit Card,success,INR
STD-MERCHANT-RISK-000027,USER-MERCHANT-027,2026-01-18 02:54:00,30000,FlashCryptoX,Pune,Net Banking,success,INR
STD-MERCHANT-RISK-000028,USER-MERCHANT-028,2026-01-18 02:56:00,34000,FlashCryptoX,Kolkata,UPI,success,INR
STD-MERCHANT-RISK-000029,USER-MERCHANT-029,2026-01-18 02:58:00,38000,FlashCryptoX,Jaipur,Debit Card,success,INR
STD-MERCHANT-RISK-000030,USER-MERCHANT-030,2026-01-18 03:00:00,18000,FlashCryptoX,Mumbai,Debit Card,success,INR
STD-MERCHANT-RISK-000031,USER-MERCHANT-031,2026-01-18 03:02:00,22000,FlashCryptoX,Jaipur,UPI,success,INR
STD-MERCHANT-RISK-000032,USER-MERCHANT-032,2026-01-18 03:04:00,26000,FlashCryptoX,Bengaluru,Wallet,success,INR
STD-MERCHANT-RISK-000033,USER-MERCHANT-033,2026-01-18 03:06:00,30000,FlashCryptoX,Chennai,Credit Card,success,INR
STD-MERCHANT-RISK-000034,USER-MERCHANT-034,2026-01-18 03:08:00,34000,FlashCryptoX,Bhopal,Net Banking,success,INR
STD-MERCHANT-RISK-000035,USER-MERCHANT-035,2026-01-18 03:10:00,38000,FlashCryptoX,Ahmedabad,UPI,success,INR
STD-ZERO-000001,USER-ZERO-001,2026-01-18 08:40:00,0,Metro Grocers,Pune,UPI,success,INR
STD-NEG-000001,USER-REFUND-001,2026-01-18 08:42:00,-3499,CloudKart,Mumbai,Wallet,refund,INR
STD-EXTREME-000001,USER-EXTREME-001,2026-01-18 08:45:00,9999999,NightOwl Electronics,Delhi,Credit Card,success,INR
